time,latitude,longitude,depth,mag,nst,gap,dmin,rms,updated,place,type,horizontalError,depthError,magError,magNst
2024-12-31T18:52:07.239Z,24.3008,121.7217,25.648,3.9,48,55,0.172,0.73,2024-12-31T20:20:57.040Z,"37 km NNE of Hualien City, Taiwan",earthquake,1.63,4.704,0.062,25
2024-12-29T19:51:35.909Z,23.5333,120.6525,20.064,4.7,66,64,0.233,0.83,2024-12-30T06:53:03.127Z,"21 km ENE of Pizitou, Taiwan",earthquake,3.24,5.246,0.079,49
2024-12-29T15:22:08.172Z,23.398,121.8325,10,4.5,25,101,0.492,0.84,2024-12-29T20:47:00.096Z,"68 km SSE of Hualien City, Taiwan",earthquake,4.25,1.914,0.15,13
2024-12-26T08:08:50.808Z,23.8875,121.7688,25.893,4.7,58,70,0.326,0.67,2024-12-29T20:13:03.387Z,"19 km ESE of Hualien City, Taiwan",earthquake,3.24,4.898,0.062,25
2024-12-11T20:05:49.112Z,23.9428,121.7884,25.893,4.1,60,69,0.29,0.73,2024-12-11T21:02:32.040Z,"19 km ESE of Hualien City, Taiwan",earthquake,3.52,2.787,0.065,23
2024-12-07T07:48:28.472Z,23.9242,122.2719,16.258,4.9,73,73,0.667,0.72,2024-12-25T07:21:35.040Z,"68 km E of Hualien City, Taiwan",earthquake,4.12,4.816,0.079,50
2024-11-27T15:32:24.165Z,24.0475,121.7131,45.962,4.6,97,67,0.691,0.81,2024-12-17T23:56:04.214Z,"13 km NE of Hualien City, Taiwan",earthquake,2.36,6.02,0.063,24
2024-11-23T17:19:10.668Z,23.7281,121.3866,10.21,4.1,58,81,0.344,0.64,2024-12-18T17:17:13.040Z,"35 km SW of Hualien City, Taiwan",earthquake,1.65,4.045,0.08,15
2024-11-22T12:40:19.019Z,23.1252,120.2224,10,4.9,68,36,0.413,0.71,2024-12-13T03:33:26.850Z,"11 km NNW of Yongkang, Taiwan",earthquake,4.4,1.843,0.068,21
2024-11-18T13:27:25.082Z,24.1273,121.6989,25.91,4.1,54,73,0.615,0.6,2024-12-29T15:23:44.040Z,"19 km NNE of Hualien City, Taiwan",earthquake,4.23,3.757,0.078,16
2024-11-14T02:38:16.293Z,23.8553,121.676,27.476,4.6,160,55,0.577,0.76,2024-12-08T00:44:25.734Z,"15 km SSE of Hualien City, Taiwan",earthquake,3.23,4.517,0.073,18
2024-11-06T17:19:38.341Z,23.4997,121.6609,25.108,5,103,37,0.864,0.71,2025-01-03T19:18:50.040Z,"53 km S of Hualien City, Taiwan",earthquake,4.17,3.485,0.075,17
2024-11-05T18:08:26.179Z,24.0814,121.8846,28.625,4,35,66,0.747,0.78,2024-12-02T21:20:07.040Z,"30 km ENE of Hualien City, Taiwan",earthquake,3.48,4.346,0.086,13
2024-10-31T16:18:16.748Z,23.5198,121.6159,14.486,4.8,59,46,0.855,0.92,2024-12-07T16:40:08.040Z,"50 km S of Hualien City, Taiwan",earthquake,3.9,4.064,0.078,16
2024-10-27T10:21:45.264Z,23.9825,121.6566,31.216,4.7,65,47,0.198,1.09,2024-12-28T03:25:52.040Z,"5 km E of Hualien City, Taiwan",earthquake,3.49,4.347,0.068,21
2024-10-27T06:56:54.954Z,23.3906,120.4472,10,4.2,34,97,0.19,1.06,2024-11-20T09:39:08.546Z,"10 km S of Pizitou, Taiwan",earthquake,5.49,1.873,0.073,18
2024-10-27T06:28:47.701Z,23.3817,120.5293,10,4,22,126,0.123,0.67,2024-12-01T06:14:35.040Z,"14 km SE of Pizitou, Taiwan",earthquake,3.04,1.714,0.083,14
2024-10-27T06:19:12.922Z,23.4173,120.4336,10,4.3,39,99,0.214,1.15,2024-11-20T09:36:17.172Z,"7 km S of Pizitou, Taiwan",earthquake,3.93,1.862,0.068,21
2024-10-22T22:02:10.213Z,22.0209,121.4705,10,4.5,32,117,0.871,1.07,2024-11-20T22:47:26.904Z,"75 km E of Hengchun, Taiwan",earthquake,5.65,1.925,0.135,16
2024-10-16T13:58:21.064Z,24.0195,121.6565,35,4.8,153,30,0.164,0.52,2024-12-26T23:03:47.040Z,"7 km NE of Hualien City, Taiwan",earthquake,3.82,1.84,0.063,24
2024-10-14T13:17:15.039Z,24.1213,121.8502,33.588,4.3,153,46,0.239,0.64,2024-12-26T23:03:50.040Z,"29 km ENE of Hualien City, Taiwan",earthquake,3.52,3.805,0.069,20
2024-10-13T11:36:32.028Z,23.9747,121.61,22.54,4.3,66,69,0.199,0.75,2024-12-23T15:47:21.040Z,"0 km ESE of Hualien City, Taiwan",earthquake,3.11,1.697,0.061,26
2024-10-11T12:52:08.730Z,23.679,121.5031,9.336,4.1,39,88,0.342,0.58,2024-12-23T15:46:50.040Z,"34 km SSW of Hualien City, Taiwan",earthquake,2.1,3.989,0.066,22
2024-10-10T12:40:50.399Z,23.7522,121.5063,24.295,4.1,42,87,0.406,0.85,2024-12-23T15:46:35.040Z,"26 km SSW of Hualien City, Taiwan",earthquake,4.16,5.338,0.086,13
